Ea,Ed,El,Epro,Qcre,Qhpro,Qs,Vw,Vww,X,people,ve
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,244.0,48.79859,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,244.0,48.79859,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,195.19437,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,634.38169,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,292.79155,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,976.0,0.0,0.0,976.0,976.0,976.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,53.04195,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,53.04195,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,106.08389,0.0,122.0,122.0,122.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,689.54532,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,318.25168,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,32939.04936,0.0,32939.04936,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,30730.19546,0.0,26351.23948,0.0,976.0,0.0,0.0,976.0,976.0,976.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,23367.34913,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
10979.68312,0.0,8770.82922,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,244.0,48.79859,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,244.0,48.79859,0.0,244.0,244.0,244.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,195.19437,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,0.0,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,634.38169,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,732.0,292.79155,0.0,732.0,732.0,732.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,976.0,0.0,0.0,976.0,976.0,976.0
21959.36624,0.0,16069.08918,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,53.04195,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,53.04195,0.0,122.0,122.0,122.0
13175.61974,0.0,10230.48121,0.0,4391.87325,0.0,122.0,106.08389,0.0,122.0,122.0,122.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,122.0,0.0,0.0,122.0,122.0,122.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,689.54532,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,318.25168,0.0,854.0,854.0,854.0
28547.17611,0.0,20448.04515,0.0,4391.87325,0.0,854.0,0.0,0.0,854.0,854.0,854.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,244.0,0.0,0.0,244.0,244.0,244.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.93662,0.0,2932.22126,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,13149.78519,0.0,4391.87325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,20512.63152,0.0,26351.23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567.49299,0.0,22721.48542,0.0,32939.04936,0.0,244.0,0.0,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,244.0,87.14034,0.0,244.0,244.0,244.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,609.9824,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
32939.04936,0.0,34411.61862,0.0,37330.9226,0.0,976.0,87.14034,0.0,976.0,976.0,976.0
